video_id,activity_id,start_second,end_second
Rear_view_user_id_24491_NoAudio_0,17,293,322
Rear_view_user_id_24491_NoAudio_0,7,332,336
Rear_view_user_id_24491_NoAudio_0,15,358,386
Rear_view_user_id_24491_NoAudio_0,9,391,422
Rear_view_user_id_24491_NoAudio_0,0,423,450
Rear_view_user_id_24491_NoAudio_0,4,453,469
Rear_view_user_id_24491_NoAudio_0,1,480,500
Rear_view_user_id_24491_NoAudio_0,10,505,509
Rear_view_user_id_24491_NoAudio_0,16,554,579
Rear_view_user_id_24491_NoAudio_0,6,581,605
Rear_view_user_id_24491_NoAudio_0,12,606,625
Rear_view_user_id_24491_NoAudio_0,13,638,650
Rear_view_user_id_35133_NoAudio_0,12,0,23
Rear_view_user_id_35133_NoAudio_0,0,32,50
Rear_view_user_id_35133_NoAudio_0,1,59,77
Rear_view_user_id_35133_NoAudio_0,2,86,104
Rear_view_user_id_35133_NoAudio_0,15,114,132
Rear_view_user_id_35133_NoAudio_0,17,142,166
Rear_view_user_id_35133_NoAudio_0,9,176,199
Rear_view_user_id_35133_NoAudio_0,5,209,229
Rear_view_user_id_35133_NoAudio_0,14,238,255
Rear_view_user_id_35133_NoAudio_0,3,263,280
Rear_view_user_id_35133_NoAudio_0,8,289,311
Rear_view_user_id_35133_NoAudio_0,6,321,342
Rear_view_user_id_35133_NoAudio_0,10,351,374
Rear_view_user_id_35133_NoAudio_0,4,383,399
Rear_view_user_id_35133_NoAudio_0,11,408,433
Rear_view_user_id_35133_NoAudio_0,13,442,461
Rear_view_user_id_35133_NoAudio_0,7,470,492
Rear_view_user_id_35133_NoAudio_0,16,502,519
Rear_view_user_id_35133_NoAudio_2,12,0,23
Rear_view_user_id_35133_NoAudio_2,0,32,49
Rear_view_user_id_35133_NoAudio_2,1,58,75
Rear_view_user_id_35133_NoAudio_2,2,85,103
Rear_view_user_id_35133_NoAudio_2,15,112,129
Rear_view_user_id_35133_NoAudio_2,17,140,164
Rear_view_user_id_35133_NoAudio_2,9,174,198
Rear_view_user_id_35133_NoAudio_2,5,207,228
Rear_view_user_id_35133_NoAudio_2,14,237,253
Rear_view_user_id_35133_NoAudio_2,3,262,279
Rear_view_user_id_35133_NoAudio_2,8,288,310
Rear_view_user_id_35133_NoAudio_2,6,318,340
Rear_view_user_id_35133_NoAudio_2,10,350,371
Rear_view_user_id_35133_NoAudio_2,4,381,398
Rear_view_user_id_35133_NoAudio_2,11,407,431
Rear_view_user_id_35133_NoAudio_2,13,440,459
Rear_view_user_id_35133_NoAudio_2,7,468,490
Rear_view_user_id_35133_NoAudio_2,16,499,518
Rear_view_User_id_38058_NoAudio_0,1,0,29
Rear_view_User_id_38058_NoAudio_0,9,37,59
Rear_view_User_id_38058_NoAudio_0,16,69,92
Rear_view_User_id_38058_NoAudio_0,3,101,121
Rear_view_User_id_38058_NoAudio_0,17,131,155
Rear_view_User_id_38058_NoAudio_0,4,164,187
Rear_view_User_id_38058_NoAudio_0,12,195,218
Rear_view_User_id_38058_NoAudio_0,11,227,245
Rear_view_User_id_38058_NoAudio_0,10,255,280
Rear_view_User_id_38058_NoAudio_0,6,289,310
Rear_view_User_id_38058_NoAudio_0,0,320,339
Rear_view_User_id_38058_NoAudio_0,7,347,365
Rear_view_User_id_38058_NoAudio_0,15,374,398
Rear_view_User_id_38058_NoAudio_0,2,407,432
Rear_view_User_id_38058_NoAudio_0,13,441,462
Rear_view_User_id_38058_NoAudio_0,5,471,490
Rear_view_User_id_38058_NoAudio_0,14,499,516
Rear_view_User_id_38058_NoAudio_0,8,526,549
Rear_view_User_id_38058_NoAudio_1,1,0,18
Rear_view_User_id_38058_NoAudio_1,9,27,49
Rear_view_User_id_38058_NoAudio_1,16,58,81
Rear_view_User_id_38058_NoAudio_1,3,91,111
Rear_view_User_id_38058_NoAudio_1,17,120,144
Rear_view_User_id_38058_NoAudio_1,4,151,175
Rear_view_User_id_38058_NoAudio_1,12,184,209
Rear_view_User_id_38058_NoAudio_1,11,218,236
Rear_view_User_id_38058_NoAudio_1,10,245,270
Rear_view_User_id_38058_NoAudio_1,6,280,302
Rear_view_User_id_38058_NoAudio_1,0,311,328
Rear_view_User_id_38058_NoAudio_1,7,337,375
Rear_view_User_id_38058_NoAudio_1,15,384,408
Rear_view_User_id_38058_NoAudio_1,2,416,441
Rear_view_User_id_38058_NoAudio_1,13,451,472
Rear_view_User_id_38058_NoAudio_1,5,480,499
Rear_view_User_id_38058_NoAudio_1,14,509,526
Rear_view_User_id_38058_NoAudio_1,8,535,558
Rearview_mirror_user_id_49381_NoAudio_1,18,0,20
Rearview_mirror_user_id_49381_NoAudio_1,3,20,39
Rearview_mirror_user_id_49381_NoAudio_1,1,49,69
Rearview_mirror_user_id_49381_NoAudio_1,6,80,97
Rearview_mirror_user_id_49381_NoAudio_1,0,107,129
Rearview_mirror_user_id_49381_NoAudio_1,14,139,161
Rearview_mirror_user_id_49381_NoAudio_1,7,171,195
Rearview_mirror_user_id_49381_NoAudio_1,8,205,221
Rearview_mirror_user_id_49381_NoAudio_1,12,231,246
Rearview_mirror_user_id_49381_NoAudio_1,17,256,271
Rearview_mirror_user_id_49381_NoAudio_1,4,281,303
Rearview_mirror_user_id_49381_NoAudio_1,13,313,330
Rearview_mirror_user_id_49381_NoAudio_1,15,340,357
Rearview_mirror_user_id_49381_NoAudio_1,9,367,391
Rearview_mirror_user_id_49381_NoAudio_1,16,401,425
Rearview_mirror_user_id_49381_NoAudio_1,10,435,451
Rearview_mirror_user_id_49381_NoAudio_1,5,461,478
Rearview_mirror_user_id_49381_NoAudio_1,11,488,503
Rearview_mirror_user_id_49381_NoAudio_1,2,513,535
Rearview_mirror_user_id_49381_NoAudio_0,18,0,15
Rearview_mirror_user_id_49381_NoAudio_0,3,15,32
Rearview_mirror_user_id_49381_NoAudio_0,1,42,62
Rearview_mirror_user_id_49381_NoAudio_0,6,72,88
Rearview_mirror_user_id_49381_NoAudio_0,0,98,120
Rearview_mirror_user_id_49381_NoAudio_0,14,130,152
Rearview_mirror_user_id_49381_NoAudio_0,7,162,186
Rearview_mirror_user_id_49381_NoAudio_0,8,196,212
Rearview_mirror_user_id_49381_NoAudio_0,12,222,237
Rearview_mirror_user_id_49381_NoAudio_0,17,247,262
Rearview_mirror_user_id_49381_NoAudio_0,4,272,295
Rearview_mirror_user_id_49381_NoAudio_0,13,305,321
Rearview_mirror_user_id_49381_NoAudio_0,15,331,348
Rearview_mirror_user_id_49381_NoAudio_0,9,358,382
Rearview_mirror_user_id_49381_NoAudio_0,16,392,416
Rearview_mirror_user_id_49381_NoAudio_0,10,426,442
Rearview_mirror_user_id_49381_NoAudio_0,5,452,469
Rearview_mirror_user_id_49381_NoAudio_0,11,479,494
Rearview_mirror_user_id_49381_NoAudio_0,2,504,526
