video_id,activity_id,start_second,end_second
Rightside_window_user_id_35133_NoAudio_2,6,318,340
Rightside_window_user_id_35133_NoAudio_2,10,350,371
Rightside_window_user_id_35133_NoAudio_2,4,381,398
Rightside_window_user_id_35133_NoAudio_2,11,407,431
Rightside_window_user_id_35133_NoAudio_2,13,440,459
Rightside_window_user_id_35133_NoAudio_2,7,468,490
Rightside_window_user_id_35133_NoAudio_2,16,499,518
Rightside_window_user_id_35133_NoAudio_0,12,0,23
Rightside_window_user_id_35133_NoAudio_0,0,32,50
Rightside_window_user_id_35133_NoAudio_0,1,59,77
Rightside_window_user_id_35133_NoAudio_0,2,86,104
Rightside_window_user_id_35133_NoAudio_0,15,114,132
Rightside_window_user_id_35133_NoAudio_0,17,142,166
Rightside_window_user_id_35133_NoAudio_0,9,176,199
Rightside_window_user_id_35133_NoAudio_0,5,209,229
Rightside_window_user_id_35133_NoAudio_0,14,238,255
Rightside_window_user_id_35133_NoAudio_0,3,263,280
Rightside_window_user_id_35133_NoAudio_0,8,289,311
Rightside_window_user_id_35133_NoAudio_0,6,321,342
Rightside_window_user_id_35133_NoAudio_0,10,351,374
Rightside_window_user_id_35133_NoAudio_0,4,383,399
Rightside_window_user_id_35133_NoAudio_0,11,408,433
Rightside_window_user_id_35133_NoAudio_0,13,442,461
Rightside_window_user_id_35133_NoAudio_0,7,470,492
Rightside_window_user_id_35133_NoAudio_0,16,502,519
Right_side_window_User_id_38058_NoAudio_1,1,0,18
Right_side_window_User_id_38058_NoAudio_1,9,27,49
Right_side_window_User_id_38058_NoAudio_1,16,58,81
Right_side_window_User_id_38058_NoAudio_1,3,91,111
Right_side_window_User_id_38058_NoAudio_1,17,120,144
Right_side_window_User_id_38058_NoAudio_1,4,151,175
Right_side_window_User_id_38058_NoAudio_1,12,184,209
Right_side_window_User_id_38058_NoAudio_1,11,218,236
Right_side_window_User_id_38058_NoAudio_1,10,245,270
Right_side_window_User_id_38058_NoAudio_1,6,280,302
Right_side_window_User_id_38058_NoAudio_1,0,311,328
Right_side_window_User_id_38058_NoAudio_1,7,337,375
Right_side_window_User_id_38058_NoAudio_1,15,384,408
Right_side_window_User_id_38058_NoAudio_1,2,416,441
Right_side_window_User_id_38058_NoAudio_1,13,451,472
Right_side_window_User_id_38058_NoAudio_1,5,480,499
Right_side_window_User_id_38058_NoAudio_1,14,509,526
Right_side_window_User_id_38058_NoAudio_1,8,535,558
Right_side_window_User_id_38058_NoAudio_0,1,0,29
Right_side_window_User_id_38058_NoAudio_0,9,37,59
Right_side_window_User_id_38058_NoAudio_0,16,69,92
Right_side_window_User_id_38058_NoAudio_0,3,101,121
Right_side_window_User_id_38058_NoAudio_0,17,131,155
Right_side_window_User_id_38058_NoAudio_0,4,164,187
Right_side_window_User_id_38058_NoAudio_0,12,195,218
Right_side_window_User_id_38058_NoAudio_0,11,227,245
Right_side_window_User_id_38058_NoAudio_0,10,255,280
Right_side_window_User_id_38058_NoAudio_0,6,289,310
Right_side_window_User_id_38058_NoAudio_0,0,320,339
Right_side_window_User_id_38058_NoAudio_0,7,347,365
Right_side_window_User_id_38058_NoAudio_0,15,374,398
Right_side_window_User_id_38058_NoAudio_0,2,407,432
Right_side_window_User_id_38058_NoAudio_0,13,441,462
Right_side_window_User_id_38058_NoAudio_0,5,471,490
Right_side_window_User_id_38058_NoAudio_0,14,499,516
Right_side_window_User_id_38058_NoAudio_0,8,526,549
Right_window_user_id_49381_NoAudio_0,18,0,15
Right_window_user_id_49381_NoAudio_0,3,15,32
Right_window_user_id_49381_NoAudio_0,1,42,62
Right_window_user_id_49381_NoAudio_0,6,72,88
Right_window_user_id_49381_NoAudio_0,0,98,120
Right_window_user_id_49381_NoAudio_0,14,130,152
Right_window_user_id_49381_NoAudio_0,7,162,186
Right_window_user_id_49381_NoAudio_0,8,196,212
Right_window_user_id_49381_NoAudio_0,12,222,237
Right_window_user_id_49381_NoAudio_0,17,247,262
Right_window_user_id_49381_NoAudio_0,4,272,295
Right_window_user_id_49381_NoAudio_0,13,305,321
Right_window_user_id_49381_NoAudio_0,15,331,348
Right_window_user_id_49381_NoAudio_0,9,358,382
Right_window_user_id_49381_NoAudio_0,16,392,416
Right_window_user_id_49381_NoAudio_0,10,426,442
Right_window_user_id_49381_NoAudio_0,5,452,469
Right_window_user_id_49381_NoAudio_0,11,479,494
Right_window_user_id_49381_NoAudio_0,2,504,526
Right_window_user_id_49381_NoAudio_1,18,0,20
Right_window_user_id_49381_NoAudio_1,3,20,39
Right_window_user_id_49381_NoAudio_1,1,49,69
Right_window_user_id_49381_NoAudio_1,6,80,97
Right_window_user_id_49381_NoAudio_1,0,107,129
Right_window_user_id_49381_NoAudio_1,14,139,161
Right_window_user_id_49381_NoAudio_1,7,171,195
Right_window_user_id_49381_NoAudio_1,8,205,221
Right_window_user_id_49381_NoAudio_1,12,231,246
Right_window_user_id_49381_NoAudio_1,17,256,271
Right_window_user_id_49381_NoAudio_1,4,281,303
Right_window_user_id_49381_NoAudio_1,13,313,330
Right_window_user_id_49381_NoAudio_1,15,340,357
Right_window_user_id_49381_NoAudio_1,9,367,391
Right_window_user_id_49381_NoAudio_1,16,401,425
Right_window_user_id_49381_NoAudio_1,10,435,451
Right_window_user_id_49381_NoAudio_1,5,461,478
Right_window_user_id_49381_NoAudio_1,11,488,503
Right_window_user_id_49381_NoAudio_1,2,513,535
